x,y,角度1,角度2,角度3
2379,792,157,208,43
1805,296,101,203,8
1281,442,181,32,235
940,2033,18,190,252
321,1634,100,343,269
2000,825,17,69,339
2111,2344,117,284,6
212,2213,39,122,337
1101,2252,77,227,332
2382,1095,334,65,267
1272,899,290,22,112
2202,1035,215,125,322
2409,44,142,325,21
1867,309,152,80,29
2342,2027,242,152,62
234,1556,333,215,274
1795,700,141,232,338
1706,1712,297,227,75
1758,2129,224,171,102
1074,2343,35,198,88
2149,1117,120,262,326
1259,1391,78,265,4
116,2089,69,240,359
1153,1388,305,76,142
910,2259,138,334,280
2233,2315,116,282,31
70,2078,158,327,33
412,271,178,119,331
877,2305,111,29,360
703,2108,7,301,248
3,1227,108,335,206
874,2022,62,184,299
717,1909,6,99,315
1812,1488,108,337,54
4,1914,297,193,7
822,925,259,347,116
1824,1965,319,95,185
2106,517,54,230,339
2499,1643,150,349,268
1661,1786,61,336,282
241,2417,111,176,304
1395,1588,251,319,148
590,573,346,250,197
893,1585,349,90,158
2309,1460,256,310,116
273,1630,212,358,71
2209,129,79,153,285
746,364,231,20,316
422,2352,207,260,73
1064,1653,216,46,316
3,1750,112,42,190
1392,1573,93,245,8
798,1756,191,130,84
1900,1724,101,182,11
794,1514,162,298,349
265,2033,304,187,119
101,701,13,72,192
1836,1951,70,232,326
659,2243,19,124,223
344,1361,121,68,324
1285,1043,315,76,28
301,39,176,310,256
1722,255,237,95,163
46,848,353,267,53
456,353,85,246,329
858,2111,9,178,272
1560,2486,226,148,317
715,2397,199,130,34
1073,1948,211,39,268
393,415,223,107,33
2345,2236,117,32,247
1949,803,312,129,2
615,1782,91,325,232
149,2106,30,350,275
2224,2081,33,155,314
2454,2291,327,19,259
819,1286,298,108,23
1840,590,93,229,140
549,539,169,239,309
2134,891,252,113,332
1282,2144,136,90,307
1398,1405,246,81,319
79,559,2,177,79
359,281,299,77,345
816,1315,43,158,345
1134,2383,282,159,49
2440,383,56,294,111
157,66,348,279,129
1753,1453,25,259,170
2299,1042,104,37,188
1571,630,123,277,230
752,1024,274,342,106
1629,141,28,323,245
286,1312,274,86,324
1514,1020,120,213,345
652,2042,212,292,78
1564,904,283,175,93
1640,119,191,71,2
844,988,142,329,37
1348,163,317,119,227
5,627,40,315,246
431,1516,172,3,238
511,1174,81,170,331
481,1682,245,4,116
242,2137,268,42,120
886,731,309,25,244
2116,721,189,282,109
993,1155,63,211,12
1600,1591,196,115,60
1386,1965,177,341,259
1866,2010,360,278,228
1743,1723,357,190,24
2445,1098,299,116,182
551,1874,291,214,0
1438,790,97,160,300
959,417,358,116,296
2172,5,165,1,276
7,2098,238,20,288
1312,2448,15,132,187
1992,1374,1,265,218
449,2001,271,45,157
516,1665,275,190,57
361,25,215,25,113
2192,2497,323,113,23
2044,396,296,178,89
493,1993,208,142,23
524,443,176,13,129
2230,1860,238,310,97
77,2152,65,121,206
1660,1916,164,231,76
1626,1667,3,251,93
1498,37,238,144,336
817,125,223,84,317
1092,950,58,265,118
1272,820,50,260,162
2015,2481,47,247,181
1755,2474,346,122,195
597,1758,254,201,138
1362,675,312,94,196
1715,2332,61,301,229
1215,2306,205,136,265
696,1126,57,318,166
1247,493,180,352,98
461,687,25,291,82
2190,997,44,189,319
2342,2085,175,228,9
2056,2157,129,179,317
920,848,252,359,308
1860,572,61,255,151
106,2369,59,110,177
395,533,255,207,327
1761,1871,249,4,59
939,2352,8,125,212
1031,2315,149,265,36
1885,1447,268,80,166
1734,2043,247,330,147
2487,1633,1,271,103
1855,819,309,131,216
174,2289,129,265,199
2277,1075,49,212,163
2474,2369,174,111,288
1908,1118,178,350,281
460,822,356,114,297
2385,1676,300,133,196
885,2296,359,69,131
1669,2360,344,140,237
437,2289,238,7,338
2474,496,147,247,334
1767,1396,33,221,146
103,688,37,180,282
1224,1147,5,78,332
307,734,175,49,282
2459,865,256,150,45
561,2231,112,41,193
327,1722,152,229,70
1116,435,228,280,78
1884,1159,87,326,223
1964,1720,0,139,187
27,1435,214,30,306
1053,1060,52,283,170
30,2106,183,241,23
686,1246,294,170,48
1067,2495,280,54,170
1269,2084,236,287,70
964,1078,26,90,210
2161,1695,203,111,33
1020,1769,196,252,124
558,656,234,354,301
633,8,165,231,348
1725,1348,110,329,1
1147,1162,325,125,63
907,2395,175,264,114
390,1568,154,232,104
2233,289,161,97,32
1827,1868,161,359,296
2114,1754,0,355,51
2037,1885,225,350,295
711,10,118,14,240
1385,2007,187,253,125
2232,545,52,321,219
302,1950,298,252,173
2135,600,191,101,17
2434,128,231,77,305
960,710,224,145,6
1601,769,264,211,35
1039,629,210,283,138
857,686,41,249,180
1110,488,11,358,161
1221,670,203,347,25
1407,1683,165,355,76
230,520,350,260,5
1429,16,165,79,300
1251,1898,27,81,295
234,1831,74,10,272
486,1809,347,177,288
1634,1818,333,83,141
1472,1849,141,36,319
507,1148,286,40,110
473,542,200,82,256
1102,2282,236,360,144
300,754,125,52,203
2197,1726,212,113,14
1718,814,130,275,26
528,1669,25,147,234
743,2401,172,335,119
71,977,261,194,25
1764,448,83,131,283
469,744,268,324,142
2340,962,77,29,274
1166,2330,221,283,134
2047,2093,294,145,351
1832,1090,4,94,358
2145,1917,242,58,321
1112,1834,109,189,299
246,1097,141,14,321
336,1916,74,18,182
2,2015,302,242,141
2021,1191,357,82,284
605,1951,72,349,170
1872,82,259,58,164
342,675,355,220,23
670,609,351,17,112
1982,1045,169,3,236
721,133,241,4,74
1784,544,9,116,251
930,212,303,122,233
162,1412,143,347,272
1935,405,214,80,141
1171,179,70,23,333
776,2137,134,233,307
47,806,296,231,52
1791,494,341,63,130
777,2388,289,206,97
1424,1922,52,105,213
1931,1033,199,75,310
2244,459,67,137,223
1952,1950,107,216,351
1485,691,346,79,294
194,1285,13,108,221
2362,1974,126,32,284
1941,1589,9,238,66
1697,959,239,165,61
918,2443,177,284,87
692,937,21,88,317
1065,42,113,205,260
1274,508,164,100,42
94,2394,271,157,104
193,1913,249,307,108
1086,1312,328,92,243
1191,912,306,208,59
1095,2215,41,240,349
2442,1712,163,227,351
1827,463,295,229,39
596,1894,346,107,258
748,107,226,62,323
794,232,17,133,355
1912,1105,38,139,300
1606,695,112,224,54
2349,2362,323,244,19
173,2232,297,141,193
2288,590,71,328,273
1048,1605,317,209,42
759,219,136,275,207
53,543,300,356,148
1157,2031,220,125,358
988,1223,23,133,305
1258,1067,296,356,44
2241,1368,203,77,129
1429,2009,342,237,64
155,1884,180,99,340
1798,1657,235,26,315
2276,1390,210,64,258
133,388,58,149,311
924,2168,133,60,283
2244,2021,347,273,105
2370,45,352,23,190
813,1496,0,357,114
1836,1603,170,14,302
2432,2412,171,280,2
1005,986,46,351,273
2262,620,230,117,342
213,39,127,31,358
2343,1596,312,265,45
555,1985,334,210,273
1426,1940,12,265,129
1904,1431,273,127,326
136,1180,277,201,352
2138,891,110,212,28
878,2389,73,15,351
1989,326,4,289,72
2302,2315,305,225,48
1255,1065,247,170,32
1638,1737,1,314,179
2038,1772,317,61,138
934,95,296,191,106
2014,2228,264,345,36
174,737,253,119,50
2227,1711,252,148,307
1683,2442,134,211,269
433,1752,223,0,111
1654,5,133,333,61
1008,1693,136,358,272
270,1827,240,32,326
2034,2206,74,344,134
539,437,203,347,136
1664,287,121,352,211
1017,2219,241,113,167
1649,1590,196,46,305
1635,935,140,215,341
419,1632,78,207,335
817,1055,31,94,233
2354,1185,98,157,49
2488,1663,299,199,355
249,1865,342,150,249
418,1561,116,328,69
966,1395,217,320,84
44,1387,109,168,28
759,1885,258,40,323
1131,753,175,293,40
1370,534,192,119,37
2239,1660,245,97,153
2202,456,39,321,169
1585,776,153,355,242
94,2345,187,10,83
547,1699,92,204,275
925,914,248,302,187
61,2274,194,90,330
2126,1817,332,260,95
988,2126,264,20,201
2322,1381,240,188,58
1586,389,116,261,359
1263,1476,185,50,125
1691,1188,22,91,247
117,71,27,322,101
498,1451,293,216,13
1075,53,30,106,199
1197,1744,73,214,269
259,246,113,291,185
1523,713,277,212,40
2476,457,270,188,3
1253,1379,43,314,207
1194,2211,286,46,342
733,614,13,81,205
944,803,96,271,47
2233,82,19,250,350
2363,769,69,137,332
827,485,35,89,136
901,2136,288,217,106
2127,2097,237,88,337
974,1702,270,28,108
371,185,220,167,105
1098,840,210,317,93
1057,105,285,350,184
327,2139,199,112,270
1836,1230,228,309,85
1826,2095,40,210,348
2355,794,97,215,349
544,1959,301,204,9
2391,2464,179,42,117
2376,197,36,328,168
1311,1825,33,332,204
964,1726,47,178,319
834,223,254,54,199
1652,111,166,86,339
24,38,13,258,124
210,1375,138,91,29
1324,1828,47,182,275
876,357,10,76,318
643,2169,177,13,331
1260,846,87,28,281
2046,810,358,312,86
1233,301,326,181,65
1560,55,207,308,60
1765,488,158,241,86
1215,521,316,240,149
512,1110,359,308,181
758,1458,29,326,220
809,1244,148,1,347
930,1926,281,193,45
1473,1057,256,105,336
360,1671,156,54,270
1788,1819,116,219,293
1878,1811,345,58,286
2197,2131,163,12,78
2333,1138,28,122,338
872,1852,71,12,319
1337,2442,266,125,73
1206,417,216,279,358
536,80,46,175,129
877,1722,92,34,264
1772,2158,298,75,172
1692,1801,181,16,72
897,1516,349,177,25
751,1349,98,213,5
1966,1116,160,221,12
1528,2495,266,193,137
119,1068,257,47,166
1554,2046,312,154,106
2347,2487,76,25,318
1863,407,124,331,189
2498,913,281,348,56
955,1041,128,300,360
523,1386,13,179,65
1184,709,266,182,117
1414,757,115,327,237
2263,1833,67,123,328
1831,1557,350,30,156
170,466,322,33,271
1221,2067,90,233,345
1025,43,126,174,308
20,922,65,308,9
1608,1266,311,160,65
184,2126,344,71,212
163,400,316,104,23
7,2468,145,316,247
383,846,82,213,281
277,1847,170,76,358
1448,2185,172,255,82
1715,1821,132,195,269
871,2091,226,178,105
581,929,314,80,15
1225,703,179,59,311
317,1305,206,38,88
2317,1093,51,124,359
2384,1120,190,77,302
805,973,108,38,245
1739,917,104,177,351
762,991,87,314,3
531,1855,240,90,0
566,1331,285,216,40
894,494,326,183,126
2142,2498,153,39,258
1965,160,195,302,63
656,1686,143,296,32
1303,1118,324,263,139
1524,1803,219,283,357
270,1680,236,167,331
1296,936,344,220,39
1739,117,359,248,176
707,2491,235,89,19
1236,2345,254,192,129
1205,965,68,218,283
1532,4,314,148,13
698,1591,100,268,187
2047,121,84,241,133
846,917,56,150,254
1148,2211,86,220,326
1991,1006,288,359,31
2267,1213,34,287,180
1794,1285,118,67,344
45,1515,359,129,181
1981,1995,178,36,252
71,2015,165,25,110
1378,539,355,131,249
2145,2478,122,293,185
1318,2200,245,28,173
1405,1097,40,356,303
2459,1032,116,258,168
2120,1805,176,241,93
1602,748,30,215,285
1711,1451,116,16,276
1379,480,139,223,30
555,1668,278,177,72
2074,1212,157,219,110
11,2164,249,322,194
1986,1131,38,333,132
544,666,292,35,96
966,1814,25,256,347
2496,1445,127,344,297
1103,1485,59,229,165
32,407,273,8,126
1807,1049,165,100,295
706,1228,151,318,25
778,2238,74,152,293
2265,2332,99,160,211
1398,1350,351,207,121
983,1607,258,204,55
803,395,196,86,335
1156,2040,104,155,275
1878,586,59,193,272
283,1676,227,180,278
220,1742,318,99,257
2162,554,321,31,156
2089,911,49,201,328
2286,67,36,142,319
2464,1409,159,355,241
817,273,148,98,269
1296,2146,352,237,177
2454,845,241,173,344
2247,958,91,321,141
2144,1565,241,31,108
536,1622,73,343,286
705,726,305,204,64
1127,1640,338,2,55
2064,2020,103,31,304
1113,2444,286,67,224
1318,2212,58,121,296
1026,1887,92,13,257
2322,857,273,109,346
1857,966,330,39,266
830,1533,274,40,88
2211,173,25,291,101
1144,1616,271,20,342
2287,2378,233,111,58
444,1651,226,127,333
1831,796,74,10,150
1676,1783,121,53,206
1076,518,358,57,7
1980,1207,65,327,158
877,330,203,269,132
1870,731,44,185,329
1788,1192,207,343,98
376,700,225,33,298
1118,1469,270,347,55
1632,1047,162,218,40
842,2420,118,248,202
1703,2498,10,339,238
300,1501,320,10,253
1297,2253,62,129,272
1325,1515,259,45,136
684,968,250,58,187
1802,2323,78,124,199
1840,1657,360,173,230
300,1866,259,336,157
1962,1182,37,143,304
539,1828,150,297,352
272,1094,55,196,351
16,924,147,213,28
541,148,139,341,203
1151,109,186,116,33
2210,708,336,45,125
1216,421,3,63,259
2086,1525,353,293,215
832,64,16,221,341
1831,2075,50,163,338
370,1299,232,346,146
1324,1197,8,176,287
2126,1742,197,151,333
1322,2169,8,201,347
1672,2468,209,342,55
1591,1302,279,135,45
2231,1941,189,338,61
663,1820,199,257,132
1166,369,121,175,270
446,1446,67,333,166
2298,1042,17,166,260
2081,1566,38,185,350
265,1083,14,332,279
1395,1429,25,71,142
2471,1326,12,99,359
1394,1472,88,344,203
1340,1267,302,168,227
1476,1636,76,269,353
1205,868,321,107,8
261,34,160,6,260
1293,827,201,262,87
1896,1254,188,100,47
1446,2189,319,37,244
824,2104,39,342,276
1282,195,186,78,255
496,700,126,359,22
1026,2396,254,59,159
316,1833,308,189,44
2411,2421,149,201,252
616,563,65,129,328
352,195,250,80,146
1558,515,60,359,249
1778,1319,18,207,71
1363,2212,211,324,95
2116,791,88,161,40
2150,1180,138,45,342
1177,1658,47,97,237
2464,2302,202,19,83
1063,1741,108,256,339
2467,2497,260,336,210
350,1604,167,279,29
2291,2441,15,352,95
1651,2194,141,355,199
470,1793,171,2,233
1823,1385,245,329,116
1574,731,239,116,311
84,298,106,306,193
2431,1019,334,269,188
1718,91,291,174,78
2337,1746,237,185,51
896,2003,116,359,208
770,2044,13,244,339
215,686,350,154,27
1179,2058,213,87,311
1566,2092,4,302,101
898,252,226,338,59
650,968,20,330,84
407,1468,36,272,341
81,2456,278,63,128
970,2335,281,67,216
168,699,145,285,7
539,277,215,284,103
574,67,92,42,169
1367,1174,63,110,243
1148,775,231,175,354
433,428,82,179,359
865,261,342,106,27
1585,799,53,292,178
178,2045,144,261,354
836,105,147,61,206
2237,2413,3,49,143
2498,102,338,253,100
484,819,138,218,316
1746,1653,344,172,84
1635,1042,82,250,344
1117,66,122,23,233
1436,1198,241,358,287
716,2167,354,78,299
1210,358,8,112,60
1476,542,334,259,153
1989,1206,114,37,217
2485,308,263,29,160
1759,1805,42,157,299
2344,1469,46,237,185
2170,1705,146,318,61
2319,1237,82,210,23
543,1141,353,109,224
1345,1758,168,258,108
1549,2241,228,277,14
1946,1087,359,285,126
1670,1771,180,17,100
167,2195,14,234,94
820,1164,84,254,187
559,1364,170,22,278
146,1819,285,342,149
1905,311,223,130,283
1016,2274,116,52,174
275,2423,93,205,356
2065,332,169,289,233
680,2317,189,328,5
417,913,164,41,94
